Veebilehtede nimetamine küpsiseteadetes
	Era	Avalik	Kokku
(see) veebileht	90	21	111
meie (veebileht)/verb 1pl	113	25	138
nimi	10	8	18
meie + nimi	4	1	5
ebamäärane	2	1	3


Kes kasutab küpsiseid, veebileht või selle haldaja?
	Era	Avalik	Kokku
passiiv/umbisikuline	46	9	55
veebileht + 3sg	44	14	58
(meie) + verb 1pl	109	23	132
pood + 3sg	1	0	1
ei ole mainitud	10	6	16
nimi + verb 3sg	3	1	4
e-pood + verb 3sg	2	2	4
vastuoluline: on kasutatud + veebileht kasutab	2	0	2
kasutame + nimi kasutab	0	1	1
verb 3pl	2	0	2
