Id kood	kategooria
ahhaa_ktea1	arvuti suhtleb kasutajaga
ay_ktea1	arvuti suhtleb kasutajaga
bauhaus_ktea1	arvuti suhtleb kasutajaga
benu_ktea1	arvuti suhtleb kasutajaga
bg_ktea1	arvuti suhtleb kasutajaga
bigbank_ktea1	arvuti suhtleb kasutajaga
bon_ktea1	arvuti suhtleb kasutajaga
boo_ktea1	arvuti suhtleb kasutajaga
comdec_ktea1	arvuti suhtleb kasutajaga
dd_ktea1	arvuti suhtleb kasutajaga
dec_ktea1	arvuti suhtleb kasutajaga
draamateater_ktea1	arvuti suhtleb kasutajaga
ebh_ktea1	arvuti suhtleb kasutajaga
eepank_ktea1	arvuti suhtleb kasutajaga
ehe_ktea1	arvuti suhtleb kasutajaga
emm_ktea2	arvuti suhtleb kasutajaga
expa_ktea1	arvuti suhtleb kasutajaga
glami_ktea1	arvuti suhtleb kasutajaga
hestia_ktea1	arvuti suhtleb kasutajaga
hiiu_ktea1	arvuti suhtleb kasutajaga
idla_ktea1	arvuti suhtleb kasutajaga
itk_ktea1	arvuti suhtleb kasutajaga
kako_ktea1	arvuti suhtleb kasutajaga
kaup_ktea1	arvuti suhtleb kasutajaga
kingitus_ktea1	arvuti suhtleb kasutajaga
ks_ktea1	arvuti suhtleb kasutajaga
lem_ktea1	arvuti suhtleb kasutajaga
levi_ktea1	arvuti suhtleb kasutajaga
lidl_ktea1	arvuti suhtleb kasutajaga
lp_ktea1	arvuti suhtleb kasutajaga
lum_ktea1	arvuti suhtleb kasutajaga
maaelumuuseumid_ktea1	arvuti suhtleb kasutajaga
macta_ktea1	arvuti suhtleb kasutajaga
mag_ktea1	arvuti suhtleb kasutajaga
mh_ktea1	arvuti suhtleb kasutajaga
mith_ktea1	arvuti suhtleb kasutajaga
on_ktea1	arvuti suhtleb kasutajaga
ood_ktea1	arvuti suhtleb kasutajaga
oom_ktea1	arvuti suhtleb kasutajaga
pajo_ktea1	arvuti suhtleb kasutajaga
pegasus_ktea1	arvuti suhtleb kasutajaga
prisma_ktea3	arvuti suhtleb kasutajaga
proto_ktea1	arvuti suhtleb kasutajaga
puhh_ktea1	arvuti suhtleb kasutajaga
raamat_ktea1	arvuti suhtleb kasutajaga
rimi_ktea1	arvuti suhtleb kasutajaga
rrkirj_ktea1	arvuti suhtleb kasutajaga
soulz_ktea1	arvuti suhtleb kasutajaga
str_ktea1	arvuti suhtleb kasutajaga
sula_ktea1	arvuti suhtleb kasutajaga
tee_ktea1	arvuti suhtleb kasutajaga
tool_ktea1	arvuti suhtleb kasutajaga
ttm_ktea1	arvuti suhtleb kasutajaga
