Id nimi	Verb	Vorm
aatrium_ktea1	näitama	_IMP2sg
aatrium_ktea1	keelduma	_IMP2sg
aatrium_ktea1	lubama	_IMP2sg
aatrium_ktea1	lubama	_IMP2sg
ap_ktea1	kohandama	_IMP2sg
ap_ktea1	nõustuma	_1sgPR
apollo_ktea2	keelduma	_IMP2sg
apollo_ktea2	nõustuma	_1sgPR
autok_ktea1	seadistama	_IMP2sg
autok_ktea1	lubama	_1sgPR
avita_ktea1	kohandama	_IMP2sg
avita_ktea1	keelduma	_IMP2sg
avita_ktea1	nõustuma	_1sgPR
bauhof_ktea1	näitama	_IMP2sg
bauhof_ktea1	keelduma	_IMP2sg
bauhof_ktea1	lubama	_IMP2sg
bauhof_ktea1	lubama	_IMP2sg
bm_ktea1	nõustuma	_IMP2sg
bm_ktea1	keelduma	_IMP2sg
bm_ktea1	näitama	_IMP2sg
bpx_ktea1	kohandama	_IMP2sg
bpx_ktea1	kinnitama	_1sgPR
braavo_ktea1	kohandama	_IMP2sg
braavo_ktea1	nõustuma	_1sgPR
c4u_ktea1	näitama	_IMP2sg
c4u_ktea1	lubama	_IMP2sg
c4u_ktea1	kohandama	_IMP2sg
circlek_ktea1	lubama	_IMP2sg
circlek_ktea1	lubama	_IMP2sg
circlek_ktea1	näitama	_IMP2sg
city24_ktea1	tagasi lükkama	_IMP2sg
city24_ktea1	kuvama	_IMP2sg
city24_ktea1	nõustuma	_1sgPR
cm_ktea1	haldama	_IMP2sg
cm_ktea1	nõustuma	_1sgPR
copank_ktea1	muutma	_IMP2sg
copank_ktea1	nõustuma	_1sgPR
depod_ktea1	lugema	_IMP2sg
depod_ktea1	nõustuma	_1sgPR
depod_ktea1	nõustuma	_NEG
dion_ktea1	nõustuma	_NEG
dion_ktea1	lugema	_IMP2sg
eans_ktea1	nõustuma	_IMP2sg
eans_ktea1	nõustuma	_NEG
eco_ktea1	mitu verbi	_IMP2sg
eco_ktea1	keelduma	_IMP2sg
eco_ktea1	näitama	_IMP2sg
eek_ktea1	nõustuma	_IMP2sg
eek_ktea1	keelduma	_IMP2sg
eek_ktea1	näitama	_IMP2sg
eestiloto_ktea1	lubama	_IMP2sg
eestiloto_ktea1	muutma	_1sgPR
elektrum_ktea1	salvestama	_IMP2sg
elektrum_ktea1	nõustuma	_NEG
elektrum_ktea1	nõustuma	_1sgPR
elhai_ktea1	vaatama	_IMP2sg
elhai_ktea1	nõustuma	_1sgPR
elhai_ktea1	keelduma	_1sgPR
elo_ktea1	kohandama	_IMP2sg
elo_ktea1	keelduma	_IMP2sg
elo_ktea1	nõustuma	_1sgPR
elron_ktea1	lubama	_IMP2sg
elron_ktea1	lubama	_IMP2sg
elron_ktea1	keelduma	_IMP2sg
elron_ktea1	näitama	_IMP2sg
endla_ktea1	kohandama	_IMP2sg
endla_ktea1	keelduma	_IMP2sg
endla_ktea1	nõustuma	_1sgPR
estdev_ktea1	lugema	_IMP2sg
estdev_ktea1	aru saama	_1sgPR
fb_ktea1	keelduma	_IMP2sg
fb_ktea1	nõustuma	_1sgPR
fel_ktea1	kohandama	_IMP2sg
fel_ktea1	keelduma	_IMP2sg
fel_ktea1	nõustuma	_1sgPR
fertilitas_ktea1	kohandama	_IMP2sg
fertilitas_ktea1	keelduma	_IMP2sg
fertilitas_ktea1	nõustuma	_1sgPR
fit_ktea1	vaatama	_IMP2sg
fit_ktea1	nõustuma	_1sgPR
gal_ktea1	kohandama	_IMP2sg
gal_ktea1	keelduma	_IMP2sg
gal_ktea1	nõustuma	_1sgPR
gr_ktea1	näitama	_IMP2sg
